operacao,custo,total,media
742,2,396211,533.977088948787
743,2,396213,533.2611036339166
744,2,396215,532.5470430107526
745,2,396217,531.834899328859
746,2,396219,531.1246648793566
747,2,396221,530.4163319946452
748,2,396223,529.7098930481284
749,2,396225,529.0053404539386
750,630,396855,529.14
751,2,396857,528.4380825565912
752,2,396859,527.7380319148937
753,1220,398079,528.6573705179283
754,1221,399300,529.5755968169761
755,2,399302,528.876821192053
756,2,399304,528.1798941798942
757,630,399934,528.3143989431968
758,2,399936,527.6200527704485
759,630,400566,527.7549407114625
760,2,400568,527.0631578947368
761,2,400570,526.3731931668857
762,2,400572,525.6850393700787
763,1224,401796,526.6002621231979
764,2,401798,525.9136125654451
765,2,401800,525.2287581699346
766,2,401802,524.5456919060052
767,1227,403029,525.4615384615385
768,2,403031,524.7799479166666
769,2,403033,524.1001300390117
770,2,403035,523.422077922078
771,2,403037,522.745784695201
772,2,403039,522.0712435233161
773,2,403041,521.398447606727
774,2,403043,520.7273901808785
775,2,403045,520.058064516129
776,2,403047,519.3904639175257
777,2,403049,518.7245817245818
778,2,403051,518.0604113110539
779,2,403053,517.397946084724
780,2,403055,516.7371794871794
781,2,403057,516.078104993598
782,2,403059,515.420716112532
783,2,403061,514.7650063856961
784,2,403063,514.1109693877551
785,2,403065,513.4585987261147
786,2,403067,512.8078880407124
787,2,403069,512.158831003812
788,631,403700,512.3096446700507
789,2,403702,511.66286438529784
790,2,403704,511.01772151898734
791,2,403706,510.37420986093554
792,1230,404936,511.2828282828283
793,2,404938,510.640605296343
794,2,404940,510.0
795,2,404942,509.3610062893082
796,2,404944,508.72361809045225
797,2,404946,508.0878293601004
798,1231,406177,508.9937343358396
799,1232,407409,509.8986232790989
800,2,407411,509.26375
801,631,408042,509.4157303370786
802,2,408044,508.78304239401496
803,2,408046,508.1519302615193
804,2,408048,507.5223880597015
805,2,408050,506.8944099378882
806,2,408052,506.2679900744417
807,2,408054,505.64312267657994
808,2,408056,505.019801980198
809,2,408058,504.398022249691
810,2,408060,503.77777777777777
811,630,408690,503.93341553637487
812,2,408692,503.3152709359606
813,2,408694,502.69864698646984
814,2,408696,502.0835380835381
815,2,408698,501.46993865030674
816,2,408700,500.8578431372549
817,2,408702,500.24724602203185
818,2,408704,499.63814180929097
819,2,408706,499.03052503052504
820,630,409336,499.190243902439
821,2,409338,498.584652862363
822,2,409340,497.98053527980534
823,1236,410576,498.8772782503038
824,2,410578,498.2742718446602
825,2,410580,497.6727272727273
826,2,410582,497.0726392251816
827,2,410584,496.4740024183797
828,631,411215,496.6364734299517
829,2,411217,496.0398069963812
830,2,411219,495.44457831325303
831,630,411849,495.60649819494586
832,2,411851,495.01322115384613
833,2,411853,494.421368547419
834,2,411855,493.83093525179856
835,1241,413096,494.725748502994
836,2,413098,494.1363636363636
837,630,413728,494.29868578255673
838,2,413730,493.7112171837709
839,2,413732,493.12514898688914
840,2,413734,492.54047619047617
841,2,413736,491.9571938168847
